เรือง วันที่ 22 เดือน สิงหาคม พ.ศ. 2562 เลา 13:16 ซึ่งคณะกรรมาธิการวิสามัญพิจารณาเสร็จแล้ว ข้อ ร่างข้อบังคับการประชุมสภาผู้แทนราษฎร ั๓๕)เห็นด้วยกัา ง ซีสง๕  สิทธิ์ พ.ศ. 1# | ส 
จ้านวนผู้เข้าร่วมประชุม 479 ผู้สงวนค่าแปรณัตติ 
เห็นด้วย 101 
ไม่เห็นด้วย 2365 
งดออกเสียง 13 
ไม่ลงคะแนนเสียง 0 
หน้า ใตด้ 1.98 
ลําดับที่ เลขที่บัตร ชื่อ-สกุล ชื่อสังกัด ผลการลงคะแนน 
1 ปี01 นายกนก ลิ้มตระกูล พรรคเพื่อไทย เห็นด้วย 
2 002 ศาสตราจารย์กนก วงษ์ตระหง่าน พรรคประชาธีปัตย์ ไม่เห็นด้วย 
3 003 นายกมลศักดิ์ สิวาเมาะ พรรคประชาชาติ งดออกเสียง 
เ4. เจงล นายกรณ์ จาติกวณิช พรรคประชาธิปัตย์ เห็นด้วย 
5 05 นางกรณีศ งามสุคนธ์รัตนา พรรคพลังประชารัฐ ไม่เห็นด้วย 
6 006 นายกรวีร์ ปริศนานันทกุล พรรคภูมิใจไทย ไม่เห็นด้วย 
ซุ 007 นายกรุงศรีวิไล สุหินเผือก พรรคพลังประชารัฐ ไม่เห็นด้วย 
8 008 นายกฤติเดช สันติวชิระกุล พรรคอนาคตใหม่ เห็นด้วย 
9 009 นายกฤษฎา ตันเทอดทิตย์ พรรคเพื่อไทย ไม่เห็นด้วย 
10 010 นายกฤษณ์ แก้วอยู่ พรรคพลังประชารัฐ ไม่เห็นด้วย 
11 011 นางสาวกวินนาถ ตาคีย์ พรรคอนาคตใหม่ เห็นด้วย 
12 012 นายกษิตี้เดช ซูติมันต์ พรรคหลังประชารัฐ ไม่เห็นด้วย 
13 013 นายกัญจน์พงศ์ จงสุทธนามณี พรรคอนาคตใหม่ เห็นด้วย 
14 014 นางกันตวรรณ ตันเถียร พรรคประชาธิปัตย์ ไม่เห็นด้วย 
15 ก015 นางสาวกัลยา รุ่งวิจิตรชัย พรรคพลังประชารัฐ ไม่เห็นด้วย 
16 016 นายพิสิฐ ลี้อาธรรม พรรคประชาธิปัตย์ ไม่เห็นด้วย 
17 017 นางสาวกานต์กนิษฐ์ แห้วสันตติ พรรคพลังประชารัฐ ไม่เห็นด้วย 
18 018 นายการุณ โหสกุล พรรคเพื่อไทย ไม่เห็นด้วย 
19 019 นายกิตติ สมทรัพย์ พรรคเพื่อไทย ไม่เห็นด้วย 
20 020 นายกิตติกร โล่ห์สุนทร พรรคเพื่อไทย เห็นด้วย 
21 021 นายกิตติชัย เรืองสวัสดิ์ พรรคอนาคตใหม่ เห็นด้วย 
22 022 นางสาวกิตติ๊ธัญญา วาจาดี พรรคเพื่อไทย ไม่เห็นด้วย 
23 023 นายกิตติศักดิ์ คณาสวัสดิ์ พรรคเพื่อไทย ไม่เห็นด้วย 
284 024 นางสาวกุลจิดา รุ่งเรืองเกียรติ พรรคอนาคตใหม่ เห็นด้วย 
